================ Coverage for /Users/shurtj/Development/khoros/ ================
------------------------------ Detailed Coverage -------------------------------
| Name                                                                  |  Status |
|-----------------------------------------------------------------------|---------|
| setup.py (module)                                                     | COVERED |
|-----------------------------------------------------------------------|---------|
| docs/conf.py (module)                                                 | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/__init__.py (module)                                           | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/api.py (module)                                                | COVERED |
|   define_headers (L22)                                                | COVERED |
|   _get_json_query_string (L60)                                        | COVERED |
|   get_request_with_retries (L77)                                      | COVERED |
|   _api_request_with_payload (L112)                                    | COVERED |
|   _api_request_without_payload (L164)                                 | COVERED |
|   combine_json_and_avatar_payload (L196)                              | COVERED |
|   format_avatar_payload (L214)                                        | COVERED |
|   _report_failed_attempt (L227)                                       | COVERED |
|   _raise_exception_for_repeated_timeouts (L247)                       | COVERED |
|   post_request_with_retries (L258)                                    | COVERED |
|   put_request_with_retries (L291)                                     | COVERED |
|   _attempt_json_conversion (L324)                                     | COVERED |
|   query_successful (L343)                                             | COVERED |
|   get_results_count (L358)                                            | COVERED |
|   get_items_list (L368)                                               | COVERED |
|   delete (L378)                                                       | COVERED |
|   perform_v1_search (L400)                                            | COVERED |
|   encode_multipart_data (L431)                                        | COVERED |
|   encode_v1_query_string (L445)                                       | COVERED |
|   make_v1_request (L461)                                              | COVERED |
|   deliver_v2_results (L502)                                           | COVERED |
|   parse_v2_response (L553)                                            | COVERED |
|   _get_v2_return_values (L634)                                        | COVERED |
|   _confirm_field_supplied (L669)                                      | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/auth.py (module)                                               | COVERED |
|   get_session_key (L18)                                               | COVERED |
|   get_session_header (L48)                                            | COVERED |
|   invalidate_session (L58)                                            | COVERED |
|   get_oauth_authorization_url (L91)                                   | COVERED |
|   get_oauth_callback_url_from_user (L109)                             | COVERED |
|-----------------------------------------------------------------------|---------|
| khoros/core.py (module)                                               | COVERED |
|   Khoros (L28)                                                        | COVERED |
|     Khoros.__init__ (L41)                                             | COVERED |
|     Khoros._populate_core_settings (L213)                             | COVERED |
|     Khoros._populate_auth_settings (L220)                             | COVERED |
|     Khoros._populate_construct_settings (L234)                        | COVERED |
|     Khoros._parse_env_settings (L240)                                 | COVERED |
|     Khoros._parse_helper_settings (L255)                              | COVERED |
|     Khoros._validate_base_url (L278)                                  | COVERED |
|     Khoros._define_url_settings (L285)                                | COVERED |
|     Khoros._session_auth_credentials_defined (L294)                   | COVERED |
|     Khoros._connect_with_session_key (L305)                           | COVERED |
|     Khoros._import_album_class (L316)                                 | COVERED |
|     Khoros._import_board_class (L324)                                 | COVERED |
|     Khoros._import_category_class (L332)                              | COVERED |
|     Khoros._import_community_class (L340)                             | COVERED |
|     Khoros._import_grouphub_class (L348)                              | COVERED |
|     Khoros._import_message_class (L356)                               | COVERED |
|     Khoros._import_node_class (L363)                                  | COVERED |
|     Khoros._import_role_class (L370)                                  | COVERED |
|     Khoros._import_studio_class (L377)                                | COVERED |
|     Khoros._import_user_class (L384)                                  | COVERED |
|     Khoros.connect (L392)                                             | COVERED |
|     Khoros.query (L407)                                               | COVERED |
|     Khoros.search (L434)                                              | COVERED |
|     Khoros.get_total_count (L473)                                     | COVERED |
|     Khoros.perform_v1_search (L487)                                   | COVERED |
|     Khoros.parse_v2_response (L505)                                   | COVERED |
|     Khoros.Album (L536)                                               | COVERED |
|       Khoros.Album.__init__ (L538)                                    | COVERED |
|       Khoros.Album.create (L546)                                      | COVERED |
|       Khoros.Album.get_albums_for_user (L572)                         | COVERED |
|     Khoros.Board (L601)                                               | COVERED |
|       Khoros.Board.__init__ (L606)                                    | COVERED |
|       Khoros.Board.create (L616)                                      | COVERED |
|       Khoros.Board.structure_payload (L729)                           | COVERED |
|       Khoros.Board.get_board_id (L815)                                | COVERED |
|     Khoros.Category (L828)                                            | COVERED |
|       Khoros.Category.__init__ (L830)                                 | COVERED |
|       Khoros.Category.create (L838)                                   | COVERED |
|       Khoros.Category.get_category_id (L859)                          | COVERED |
|       Khoros.Category.get_total_count (L870)                          | COVERED |
|       Khoros.Category.get_total_category_count (L880)                 | COVERED |
|       Khoros.Category.get_category_details (L894)                     | COVERED |
|       Khoros.Category.get_category_field (L910)                       | COVERED |
|       Khoros.Category.get_url (L929)                                  | COVERED |
|       Khoros.Category.get_title (L945)                                | COVERED |
|       Khoros.Category.get_description (L967)                          | COVERED |
|       Khoros.Category.get_parent_type (L984)                          | COVERED |
|       Khoros.Category.get_parent_id (L1001)                           | COVERED |
|       Khoros.Category.get_parent_url (L1018)                          | COVERED |
|       Khoros.Category.get_root_type (L1035)                           | COVERED |
|       Khoros.Category.get_root_id (L1052)                             | COVERED |
|       Khoros.Category.get_root_url (L1069)                            | COVERED |
|       Khoros.Category.get_language (L1086)                            | COVERED |
|       Khoros.Category.is_hidden (L1103)                               | COVERED |
|       Khoros.Category.get_views (L1120)                               | COVERED |
|       Khoros.Category.friendly_date_enabled (L1137)                   | COVERED |
|       Khoros.Category.get_friendly_date_max_age (L1154)               | COVERED |
|       Khoros.Category.get_active_skin (L1171)                         | COVERED |
|       Khoros.Category.get_depth (L1188)                               | COVERED |
|       Khoros.Category.get_position (L1205)                            | COVERED |
|       Khoros.Category.get_creation_date (L1222)                       | COVERED |
